name
1;ACTIVO
1;BAJA PROPIA SOLICITUD
1;BAJA POR EXPULSION
1;JUBILADO
1;REPOSO INDEFINIDO
1;SUSPENDIDO CON SUELDO
1;SUSPENDIDO SIN SUELDO
1;ALUMNO
1;DESTITUCION
1;PENSION ESPECIAL SOBREVIVIENTE
1;FALLECIDO SIN PAGO
1;BAJA POR DECRETO DEL EJECUTIVO
1;BAJA RESOLUCION INTERNA
1;FALLECIDO CON PAGO
1;PREJUBILADO
1;PROFESIONALES DE LA SALUD
1;PENSION POR INCAPACIDAD 67%
1;CONTRATADO
1;ACTO ADMINISTRATIVO DE RETIRO
1;RETIRO VOLUNTARIO
1;PERDIDA DE LA NACIONALIDAD
1;INTERDICCION CIVIL
1;REDUCCION DE PERSONAL
1;PENSION ESPECIAL POR INVALIDEZ
1;INCAPACIDAD 67% CON PAGO
1;VEJEZ
1;LICENCIA ESPECIAL
1;CASOS ESPECIALES
1;DESTACADO
1;ACTIVO (CON LIMITACIONES)
1;REPOSO CONTINUO
1;SIN CARGO
1;LICENCIA AÑOS DE SERVICIO
1;ACTIVO (ADECUACION LABORAL)
1;ACTIVO (VACACIONES)
1;CASO ESPECIAL INCAPACIDAD RESIDUAL 67%
1;ACTIVO (COMISION DE SERVICIO)
1;DESTACADO (CON LIMITACIONES)
1;SUSPENDIDO
1;SUSPENDIDO EN ESPERA DE OFICIO DE LA ICAP
1;AVERIGUACION ICAP
1;PROCESO JUDICIAL
1;PERMISO PRE Y POST NATAL
1;PERMISO NO REMUNERADO
1;SUSPENDIDO Y PRIVADO DE LIBERTAD
1;REPOSO POR EMBARAZO
1;ACTIVO (PROCESO JUDICIAL)
1;BAJA POR JUBILACION
1;BAJA POR PENSION
1;PERMISO REMUNERADO
1;AUSENTE
